FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Eden,Hazard,MID,CHE,10600000,2,146,5.8,5.47169811320755E-07,1.37735849056604E-05,0,1144363,1,18,0,0,0,11,0,13.8,10558,1,1,146,-1,0.8,0,8,23,0,9,0,5,7.4,1398158,0,0,0,5,1769,18593,-1,0,552,Crystal Palace,Tottenham,West Ham,Southampton,Huddersfield,7.5,0,6.8,8.2,6.5,8.5,6.2,6.3,6.6,234.6
Tom,Heaton,GLK,BUR,4700000,0,8,0.275862068965517,5.86940572267058E-08,1.70212765957447E-06,0,364001,0,4,0,8,0,0,0,1.7,351,-3,0,8,3,0,0,0,0,0,0,0,0,1.8,19026,0,0,0,0,305,28,0,0,48,West Ham,West Brom,Watford,Leicester,Stoke,0,0,0,0,0,0.1,0.1,0.1,0.1,5.3
Michael,Hefele,DEF,HUD,4200000,0,1,0.0344827586206897,8.21018062397373E-09,2.38095238095238E-07,0,8956,1,1,0,0,0,0,0,0.2,19,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,2675,0,0,0,0,32,28,0,0,1,Swansea,Crystal Palace,Newcastle,Brighton,Watford,0,0,0,0,0,0,0,0,0,0.4
Ahmed El-Sayed,Hegazi,DEF,WBA,4700000,2,87,3,6.38297872340426E-07,1.85106382978723E-05,0,1327839,3,42,0,0,0,2,0,18.5,20058,2,0,87,-2,0.3,0,1.3,7,0,7,0,0,20.7,1909789,0,0,0,1,2576,8174,0,0,490,Leicester,Bournemouth,Burnley,Swansea,Man Utd,3.2,2,3.5,3.3,1.9,3.5,2.1,3.4,3.4,99.8
Tomer,Hemed,FWD,BHA,4700000,0,43,2.7,5.74468085106383E-07,9.14893617021277E-06,0,268025,0,8,0,0,0,2,0,9.1,2108,-3,0,43,3,0,0,0,5,0,3,0,2,1.1,294487,0,0,0,0,842,1363,0,0,110,Everton,Leicester,Huddersfield,Crystal Palace,Tottenham,1.9,0,3.1,3.4,2.1,2.5,1.9,2.8,1.6,44.2
Jordan,Henderson,MID,LIV,5300000,3,55,1.89655172413793,3.57839947950553E-07,1.0377358490566E-05,0,164558,1,18,0,0,0,1,0,10.4,404,-2,0,55,2,0.2,0,1,3,0,9,0,1,1.1,125024,0,0,0,0,1508,275,0,0,265,Man Utd,Watford,Crystal Palace,Everton,Bournemouth,0,1.3,1,1.2,1.5,1.1,1.4,0.9,1.4,72.1
Jeff,Hendrick,MID,BUR,5400000,1,73,2.8,5.18518518518518E-07,1.35185185185185E-05,0,23609,1,20,0,0,0,2,0,13.5,309,-1,0,73,1,0.4,0,2.3,1,0,8,0,2,0.2,23999,0,0,0,0,2021,230,0,0,256,West Ham,West Brom,Watford,Leicester,Stoke,2,0,2.1,1.9,2.7,2,2.6,1.7,2.7,84.5
Wayne,Hennessey,GLK,CRY,4300000,2,62,3.4,7.90697674418605E-07,1.44186046511628E-05,0,101634,0,32,0,67,0,0,0,14.4,1323,-2,0,62,2,0.5,0,2,8,0,3,0,0,1.9,124998,0,0,0,0,1620,3846,0,0,337,Chelsea,Huddersfield,Liverpool,Bournemouth,Brighton,3.2,2.8,4,2.7,4.4,3.5,3.6,3.4,4.1,47.2
Dion,Henry,GLK,CRY,4000000,0,0,0,0,0,0,3047,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6904,0,0,0,0,0,69,0,0,0,Chelsea,Huddersfield,Liverpool,Bournemouth,Brighton,0,0,0,0,0,0,0,0,0,0
Ander,Herrera,MID,MUN,5000000,0,29,1,2E-07,5.8E-06,0,196818,4,11,0,0,0,0,0,5.8,330,-5,0,29,5,0,0,0,0,0,3,0,1,1.3,27296,0,0,0,0,871,17,0,0,142,Liverpool,Swansea,Man City,West Brom,Bournemouth,0,0,0.6,0.5,0.7,0.5,0.6,0.5,0.5,43.7
